id,name,series,year,platform,format,client,player_local,player_online,completion,subscription,online support
296,Mario Tennis Aces,Super Mario,2018,Nintendo Switch,digital,Console,1-4,2-4,unfinished,no,yes
297,Mars Rover Landing,n/a,2021,Xbox 360,digital,Console,1,0,not started,no,no
298,Mass Effect,Mass Effect,2007,PC,digital,Steam,1,0,beaten,no,no
299,Mass Effect 2,Mass Effect,2010,PC,digital,Steam,1,0,beaten,no,no
300,Master of Magic Classic,n/a,1994,PC,digital,GOG,1,0,not started,no,no
301,MDK 2,MDK,2000,PC,physical,PC Disc,1,0,not started,no,no
302,Megarace,Megarace,1993,PC,physical,PC Disc,1,0,not started,no,no
303,Metal Gear Solid V: The Definitive Experience,Metal Gear,2016,PS4,digital,Console,1,2-16,beaten,no,yes
304,Metro Exodus,Metro,2020,PS4,digital,Console,1,0,unfinished,no,no
305,Microsoft Golf: The True Challenge of Golf for Windows,n/a,1995,PC,physical,PC Disc,1,0,not started,no,no
306,Middle-earth: Shadow of War,The Lord of the Rings,2017,PS4,digital,Console,1,0,unfinished,yes,no
307,Midnight Road Warriors: Turbo-Charged Illegal Street Racing,Midnight Road Warriors,2005,PC,physical,PC Disc,1,0,not started,no,terminated
308,Mido and Di,n/a,2021,PC,digital,Steam,1,0,not started,no,no
309,Minecraft,Minecraft,2011,"PS4, Xbox 360, PC",digital,Console&PC,1-4,2-10,unfinished,no,yes
310,Minion Masters,n/a,2016,PC,digital,Steam,1,2-4,not started,no,yes
311,MLB Slugfest 2006,MLB Slugfest,2006,PS2,physical,Console,1-2,0,not started,no,no
312,Monopoly,Monopoly,1999,PC,physical,PC Disc,1-6,2-6,not started,no,terminated
313,Monopoly Casino,Monopoly,2001,PC,physical,PC Disc,1-4,2-4,not started,no,terminated
314,Monster 4x4: World Circuit,Monsters 4x4,2006,Nintendo Wii,physical,Console,1-4,0,not started,no,no
315,Monster Energy Supercross - The Official Videogame,Monster Energy Motocross,2018,PS4,digital,Console,1,0,not started,yes,no
316,Mortal Kombat: Komplete Edition,Mortal Kombat,2012,Xbox 360,physical,Console,1-4,2-8,unfinished,no,yes
317,Mothergunship,n/a,2018,PC,digital,Epic,1,2,not started,no,yes
318,Moto Racer,Moto Racer,1997,PC,physical,PC Disc,1,2,not started,no,terminated
319,Museum of Other Realities,n/a,2020,PC,digital,Steam,1,2-99+,not started,no,yes
320,Mutant Year Zero: Road to Eden,n/a,2018,PC,digital,Epic,1,0,not started,no,no
321,Myst,Myst,1996,PC,physical,PC Disc,1,0,not started,no,no
322,Myster Case Files: Return to Ravenhearst,Myster Case Files,2008,PC,physical,PC Disc,1,0,not started,no,no
323,Naruto to Boruto: Shinobi Striker,Naruto,2018,PS4,digital,Console,1,2-8,not started,yes,yes
324,NASCAR Racing (Cyclemania),NASCAR,1994,PC,physical,PC Disc,1,2-4,not started,no,terminated
325,Nascar Revolution SE,NASCAR,1999,PC,physical,PC Disc,1,2-32,not started,no,terminated
326,National Lampoon's Chess Maniac: 5 Billion and 1,National Lampoon,1993,PC,physical,PC Disc,1,0,not started,no,no
327,NBA 2K12,2K Sports NBA,2011,Nintendo Wii,physical,Console,1-4,0,not started,no,no
328,NBA 2K13,2K Sports NBA,2012,Nintendo Wii,physical,Console,1-4,0,not started,no,no
329,NBA 2K16,2K Sports NBA,2015,PS4,digital,Console,1-4,2-10,not started,yes,terminated
330,NBA 2K20,2K Sports NBA,2019,PS4,digital,Console,1-4,2-10,not started,yes,yes
331,NBA 2K21,2K Sports NBA,2020,PC,digital,Epic,1,2-10,unfinished,no,yes
332,NBA Ballers: Rebound,NBA Ballers,2006,PSP,physical,Console,1,2,unfinished,no,terminated
333,NCAA March Madness 07,NCAA March Madness,2006,PS2,physical,Console,1-8,2-8,unfinished,no,terminated
334,Need for Speed: Heat,Need for Speed,2019,PS4,digital,Console,1,2-16,not started,yes,yes
335,Neon Abyss,n/a,2020,PC,digital,Epic,1,0,not started,no,no
336,Neon Chrome,n/a,2016,PS4,digital,Console,1-4,0,not started,yes,no
337,Never Alone (Kisima Ingitchuna),n/a,2014,PC,digital,Epic,1,0,not started,no,no
338,Neverwinter,Dungeons & Dragons,2013,"PS4, PC",digital,Console&PC,0,2-99+,unfinished,no,yes
339,Neverwinter Nights: Gold,Dungeons & Dragons,2003,PC,physical,PC Disc,1,0,not started,no,no
340,NFL Blitz 2003,NFL Blitz,2002,PS2,physical,Console,1-4,0,unfinished,no,no
341,Nickelodeon: All-Star Brawl,n/a,2021,PS4,digital,Console,1-4,2-4,not started,yes,yes
342,Ninja Stealth,Ninja Stealth,2016,PC,digital,Steam,1,0,not started,no,no
343,Nintendo Switch Online + Expansion Pack N64,Bundle,2021,Nintendo Switch,digital,Console,1-4,2-4,unfinished,yes,yes
344,Nintendo Switch Online + Expansion Pack SEGA Genesis,Bundle,2021,Nintendo Switch,digital,Console,1-2,2,unfinished,yes,yes
345,Nintendo Switch Online NES,Bundle,2018,Nintendo Switch,digital,Console,1-2,2,unfinished,yes,yes
346,Nintendo Switch Online SNES,Bundle,2019,Nintendo Switch,digital,Console,1-2,2,unfinished,yes,yes
347,Nom Nom Galaxy,n/a,2015,PS4,digital,Console,1-2,2-4,not started,yes,yes
348,Nomads of Driftland,n/a,2020,PC,digital,GOG,1,0,not started,no,no
349,Norse by Norse West: The Return of the Lost Vikings,The Lost Vikings,1997,PC,physical,PC Disc,1,0,not started,no,no
350,Obduction,n/a,2016,PC,digital,Epic,1,0,not started,no,no
351,Offworld Trading Company,n/a,2016,PC,digital,Epic,1,2-8,not started,no,yes
352,Okami HD,n/a,2018,Nintendo Switch,digital,Console,1,0,unfinished,no,no
353,Old School RuneScape,RuneScape,2013,PC,digital,Steam,0,2-99+,unfinished,yes,yes
354,OpenTTD,Transport Tycoon,2004,PC,digital,GOG,1,2-255,unfinished,no,yes
355,Oregon Trail II,Oregon Trail,1996,PC,physical,PC Disc,1,0,not started,no,no
356,Our Life: Beginnings & Always,Our Life,2020,PC,digital,GOG,1,0,not started,no,no
357,Outcast 1.1,Outcast,2014,PC,digital,GOG,1,0,not started,no,no
358,Outward,n/a,2019,PC,digital,Steam,1,2,unfinished,no,yes
359,Overcooked!,Overcooked!,2016,PS4,digital,Console,1-4,2-4,unfinished,yes,yes
360,Overcooked! 2,Overcooked!,2018,PC,digital,Epic,1-4,2-4,not started,no,yes
361,Paladins: Champions of the Realm,n/a,2018,PS4,digital,Console,0,10,unfinished,no,yes
362,Paper Mario: The Origami King,Super Mario,2020,Nintendo Switch,physical,Console,1,0,perfect (100%),no,no
363,Paradigm,n/a,2017,PC,digital,Epic,1,0,not started,no,no
364,Pathfinder: Kingmaker - Enhanced Plus Edition,Pathfinder,2018,PC,digital,Epic,1,0,not started,no,no
365,Persona 5,Persona,2016,PS4,digital,Console,1,0,unfinished,no,no
366,Pinball 4000: Serious Pinball,Pinball Mania,1995,PC,physical,PC Disc,1-8,0,not started,no,no
367,Pinball FX2,Pinball FX,2010,Xbox 360,digital,Console,1-4,2-4,not started,no,yes
368,Planescape: Torment and Icewind Dale: Enhanced Editions,Dungeons & Dragons,2009,Nintendo Switch,physical,Console,1,0,unfinished,no,no
369,Planescape: Torment: Enhanced Edition,Dungeons & Dragons,1999,PC,digital,Steam,1,0,unfinished,no,no
370,Pokémon Shield,Pokémon,2019,Nintendo Switch,physical,Console,1,2-4,unfinished,yes,yes
371,Poker Night with David Sklansky,Poker Night,1999,PC,physical,PC Disc,1,0,not started,no,terminated
372,Pole,n/a,2022,PC,digital,Steam,1,0,not started,no,no
373,Portal,Portal,2007,PC,digital,Steam,1,0,beaten,no,no
374,Portal 2,Portal,2011,PC,digital,Steam,1,2-32,beaten,no,yes
375,Post Void,n/a,2020,PC,digital,Steam,1,0,unfinished,no,no
376,Postal 2,Postal,2003,PC,digital,GOG,1,2-16,not started,no,yes
377,Postal: Classic and Uncut,Postal,1997,PC,digital,GOG,1,2-16,not started,no,terminated
378,Prey,n/a,2017,PC,digital,Epic,1,0,not started,no,no
379,Prince of Persia: The Two Thrones,Prince of Persia,2005,PC,physical,PC Disc,1,0,not started,no,no
380,Prison Architect,n/a,2015,PC,digital,Epic,1,2-8,not started,no,yes
381,Prize Fighter,n/a,1993,SEGA CD,physical,PC Disc,1,0,not started,no,no
382,Project: Snowblind,n/a,2005,PC,digital,Steam,1,2-16,not started,no,yes
383,Psycho-pass: Mandatory Happiness,Psycho-Pass,2016,PS4,digital,Console,1,0,not started,yes,no
384,PUBG: Battlegrounds,PUBG Universe,2018,PS4,digital,Console,0,16-100,not started,no,yes
385,Puzzle Challenge: Crosswords and More!,n/a,2006,Nintendo Wii,physical,Console,1-4,0,not started,no,no
386,Pyre,n/a,2017,PC,digital,Steam,1-2,0,unfinished,no,no
387,Quake II RTX,Quake,2019,PC,digital,GOG,1,2-8,unfinished,no,yes
388,Qurare: Magic Library,n/a,2014,PS4,digital,Console,0,2,not started,no,unplayable
389,Rayman Origins,Rayman,2011,PC,digital,Uplay/Ubisoft,1-4,0,not started,no,no
390,Rebel Galaxy,n/a,2016,"PS4, PC",digital,Console&PC,1,0,unfinished,no,no
391,Red Dead Redemption 2,Red Dead,2018,PS4,physical,Console,1,2-32,unfinished,no,yes
392,Redout: Enhanced Edition,Redout,2016,PC,digital,Epic,1,2-12,not started,no,yes
393,Remnant: From the Ashes,n/a,2019,"PS4, PC",digital,Console&PC,1,2-3,not started,no,yes
394,Resident Evil (Remake),Resident Evil,2015,PS4,digital,Console,1,0,unfinished,yes,no
395,Resident Evil 4,Resident Evil,2007,PC,digital,Steam,1,0,beaten,no,no
396,Resident Evil 7: Biohazard,Resident Evil,2017,PS4,digital,Console,1,0,beaten,no,no
397,Resident Evil: Revelations 2,Resident Evil,2015,PS4,digital,Console,1,0,not started,no,no
398,RetroArch,Cross-platform engine,2010,PC,digital,Steam,1-6,2-6,unfinished,no,yes
399,RIGS: Mechanized Combat League,n/a,2016,PS4,digital,Console,1,2-6,not started,yes,terminated
400,Rime,n/a,2017,PS4,digital,Console,1,0,not started,yes,no
401,Ring of Pain,n/a,2020,PC,digital,Epic,1,0,not started,no,no
402,Rise of the Tomb Raider: 20 Year Celebration,Tomb Raider,2015,"PS4, PC",digital,Console&PC,1,0,beaten,no,no
403,Riverbond,n/a,2019,PC,digital,Epic,1-4,0,not started,no,no
404,RoBoRumble,n/a,1998,PC,physical,PC Disc,1,0,not started,no,no
405,Rocket Arena,n/a,2020,PS4,digital,Console,0,6,not started,yes,yes
406,Rocket Power: Beach Bandits,Rocket Power,2002,PS2,physical,Console,1-2,0,perfect (100%),no,no
407,Rogue Legacy,Rogue Legacy,2013,PC,digital,Epic,1,0,not started,no,no
408,Rogue Trooper Redux,n/a,2017,PS4,digital,Console,1,2-4,not started,no,yes
409,RPG Maker MV,RPG Maker,2015,PC,digital,Steam,1,1,unfinished,no,yes
410,Runbow ,n/a,2016,PC,digital,Epic,1,2-9,not started,no,yes
411,RunnerDot (removed from Steam),n/a,2021,PC,digital,Steam,1,0,unfinished,no,unplayable
412,Saints Row: Gat out of Hell,Saints Row,2015,PS4,digital,Console,1,2,beaten,yes,yes
413,Salt and Sanctuary,Salt and Sanctuary,2016,PC,digital,Epic,1-2,0,not started,no,no
414,Samorost 1,Samorost,2003,PC,digital,GOG,1,0,not started,no,no
415,Sang-Froid: Tales of Werewolves,n/a,2013,PC,digital,GOG,1,0,not started,no,no
416,Screamer 4x4,Screamer,2001,PC,physical,PC Disc,1,2-4,not started,no,terminated
417,Second Extinction,n/a,2022,PC,digital,Epic,1,2-3,not started,no,yes
418,SEGA Mega Drive & Genesis Classics,Bundle,2010,PC,digital,Steam,1-2,2,unfinished,no,yes
419,Sekiro: Shadow Die Twice GOTY,SoulsBorne,2019,PC,digital,Steam,1,0,unfinished,no,no
420,Shadow Force: Razor Unit,Shadow Force,2002,PC,physical,PC Disc,1,2-16,not started,no,terminated
421,Shadow of the Tomb Raider: Definitive Edition,Tomb Raider,2018,"PS4, PC",digital,Console&PC,1,0,not started,no,no
422,Shadow Ops: Red Mercury,n/a,2004,PC,physical,PC Disc,1,2-32,not started,no,terminated
423,Shadow Tactics: Blade of the Shogun,n/a,2016,PC,digital,GOG,1,0,not started,no,no
424,Shadow Warrior,Shadow Warrior,1997,PC,physical,PC Disc,1,0,not started,no,no
425,Shadow Warrior: Classic Complete,Shadow Warrior,1997,PC,digital,GOG,1,0,not started,no,no
426,Shadowrun Returns,Shadowrun,2013,PC,digital,GOG,1,0,not started,no,no
427,Shadowrun: Dragonfall - Director's Cut,Shadowrun,2014,PC,digital,GOG,1,0,not started,no,no
428,Shadowrun: Hong Kong - Extended Edition,Shadowrun,2015,PC,digital,GOG,1,0,not started,no,no
429,Shantae and the Pirate's Curse,Shantae,2015,PC,digital,GOG,1,0,not started,no,no
430,Shattered Steel,n/a,1996,PC,physical,PC Disc,1,2-16,not started,no,terminated
431,Sheltered,Sheltered,2016,PC,digital,Epic,1,0,not started,no,no
432,Shepherd of Light,n/a,2019,PC,digital,Steam,1,0,not started,no,no
433,Shogun: Total War,Total War,2000,PC,physical,PC Disc,1,2-8,not started,no,terminated
434,Shores Unknown: Arrival,n/a,2021,PC,digital,GOG,1,0,not started,no,no
435,Sin Slayers: The First Sin,n/a,2019,PC,digital,GOG,1,0,not started,no,no
436,Slay the Dragon!,n/a,2021,PC,digital,Steam,1,0,perfect (100%),no,no
437,Slay the Spire,n/a,2019,PS4,digital,Console,1,0,unfinished,yes,no
438,Sleeping Dogs: Definitive Edition,n/a,2012,PC,digital,Steam,1,0,not started,no,no
439,Sniper Elite 4,Sniper Elite,2016,PS4,digital,Console,1,2-12,not started,yes,yes
440,SOCOM U.S. Navy SEALs: Fireteam Bravo 2,SOCOM,2006,PSP,physical,Console,1,2-16,unfinished,no,terminated
441,Solitaire: Deluxe,Solitaire,2002,PC,physical,PC Disc,1,0,not started,no,no
442,Sonic Adventure 2,Sonic the Hedgehog ,2012,PC,digital,Steam,1,0,beaten,no,no
443,Sonic Mania,Sonic the Hedgehog,2017,"PS4, PC",digital,Console&PC,1-2,0,unfinished,yes,no
444,Space Ace,Dragon's Lair,1993,PC,physical,PC Disc,1-2,0,beaten,no,no
445,Speed Brawl,n/a,2018,PC,digital,Epic,1-2,2,not started,no,yes
446,Spelunker World,Spelunker,2015,PS4,digital,Console,1,2-6,unfinished,no,unplayable
447,Spirit of the North,n/a,2020,PC,digital,Epic,1,0,not started,no,no
448,Splinter Cell: Chaos Theory,Splinter Cell,2005,PC,digital,Uplay/Ubisoft,1,2-16,beaten,no,terminated
449,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,n/a,2020,PS4,digital,Console,1-2,2,not started,yes,yes
450,Spy Chameleon,n/a,2014,PS4,digital,Console,1,0,not started,yes,no
451,Star Control Collection: Star Control & Star Control II,Star Control,1992,PC,physical,PC Disc,1-2,0,not started,no,no
452,Star Trek: Voyager - Elite Force,Star Trek,2000,PC,physical,PC Disc,1,2-32,not started,no,terminated
453,Star Wars Jedi: Fallen Order,Star Wars,2020,PS4,digital,Console,1,0,perfect (100%),no,no
454,Star Wars: Battlefront II,Star Wars: Battlefront,2017,PS4,digital,Console,1-2,2-40,unfinished,yes,yes
455,Star Wars: The Clone Wars - Lightsaber Duels,Star Wars,2008,Nintendo Wii,physical,Console,1-2,0,not started,no,no
456,Star Wars: Tie Fighter - Collector's CD-ROM,Star Wars,1995,PC,physical,PC Disc,1,0,not started,no,no
457,StarBlood Arena,n/a,2017,PS4,digital,Console,0,2,unfinished,yes,unplayable
458,StarCraft II,StarCraft,2010,PC,digital,Battle.net,1,2-6,unfinished,no,yes
459,Stardew Valley,n/a,2016,Nintendo Switch,digital,Console,1-2,2-4,unfinished,no,yes
460,Stargunner,n/a,1996,PC,digital,GOG,1,0,not started,no,no
461,Stasis,Stasis,2015,PC,digital,GOG,1,0,not started,no,no
462,SteamWorld Dig 2,SteamWorld Dig,2017,PC,digital,Steam,1,0,not started,no,no
463,Street Fighter V,Street Fighter,2016,PS4,digital,Console,1-2,2,unfinished,yes,yes
464,Strike Vector EX,n/a,2016,PS4,digital,Console,1,6,not started,yes,yes
465,Submerged: Hidden Depths,Submerged,2022,PC,digital,Epic,1,0,not started,no,no
466,Sunrider: Mask of Arcadius,Sunrider,2014,PC,digital,GOG,1,0,unfinished,no,no
467,Super Mario 3D All-Stars,Super Mario,2020,Nintendo Switch,physical,Console,1,0,unfinished,no,no
468,Super Mario Odyssey,Super Mario,2017,Nintendo Switch,physical,Console,1-2,0,beaten,no,no
469,Super Mario Party,Mario Party,2018,Nintendo Switch,digital,Console,1-4,2-4,beaten,no,yes
470,Super Smash Bros: Ultimate,Super Smash Bros.,2018,Nintendo Switch,physical,Console,1-8,2-4,unfinished,yes,yes
471,Supraland,n/a,2018,PC,digital,Epic,1,0,not started,no,no
472,Surviving Mars: Deluxe Upgrade Pack,n/a,2018,PC,digital,Steam,1,0,not started,no,no
473,Syberia,Syberia,1999,PC,digital,Multiple,1,0,not started,no,no
474,Syberia II,Syberia,2004,PC,digital,Multiple,1,0,not started,no,no
475,Symphonia,n/a,2020,PC,digital,GOG,1,0,not started,no,no
476,Syndicate Plus,Syndicate,1993,PC,digital,GOG,1,0,not started,no,no
477,Syndicate Wars,Syndicate,1996,PC,digital,GOG,1,0,not started,no,no
478,Table Top Racing: World Tour,Table Top Racing,2016,PS4,digital,Console,1,2-8,unfinished,yes,yes
479,Tales of the Borderlands,Borderlands,2014,"PS4, PC",digital,Console&PC,1,0,perfect (100%),no,no
480,Tank Commander,n/a,1995,PC,physical,PC Disc,1,2-4,not started,no,terminated
481,Tannenberg,n/a,2019,PC,digital,Epic,0,2-40,not started,no,yes
482,Team Fortress 2,Team Fortress,2007,PC,digital,Steam,0,2-36,unfinished,no,yes
483,Team Fortress Classic,Team Fortress,1999,PC,physical,PC Disc,0,2-32,not started,no,unplayable
484,Team Sonic Racing,Sonic the Hedgehog,2019,PS4,digital,Console,1-4,2-12,unfinished,yes,yes
485,Tearaway: Unfolded,n/a,2015,PS4,digital,Console,1,1,unfinished,yes,yes
486,Teenagent,n/a,1994,PC,digital,GOG,1,0,not started,no,no
487,Tell Me Why,n/a,2020,PC,digital,Steam,1,0,not started,no,no
488,Terraformers: First Steps on Mars,n/a,2021,PC,digital,GOG,1,0,not started,no,no
489,Terraforming Mars,n/a,2018,PC,digital,Epic,1-2,2-5,not started,no,yes
490,The Captain,n/a,2021,PC,digital,Epic,1,0,not started,no,no
491,The Clockwork Man,The Clockwork Man,2009,PC,physical,PC Disc,1,0,not started,no,no
492,The Complete Encyclopedia of Games,Bundle,1995,PC,physical,PC Disc,1,0,not started,no,no
493,The Dark Pictures Anthology: Man of Medan,The Dark Pictures,2019,PS4,digital,Console,0,2-5,not started,yes,yes
494,The Darkest Tales: Into the Nightmare,n/a,2021,PC,digital,GOG,1,0,not started,no,no
495,The Deadly Towers of Monsters,n/a,2016,PS4,digital,Console,1,0,perfect (100%),yes,no
496,The Drone Racing League Simulator,n/a,2017,PC,digital,Epic,1,2-6,not started,no,yes
497,The Elder Scrolls II: Daggerfall,The Elder Scrolls,1996,PC,digital,GOG,1,0,not started,no,no
498,The Elder Scrolls II: Daggerfall - GOG Cut (Daggerfall Unity),The Elder Scrolls,2022,PC,digital,GOG,1,0,unfinished,no,no
499,The Elder Scrolls III: Morrowind GOTY (with OpenMW),The Elder Scrolls,2002,PC,digital,Steam,1,2-99+,beaten,no,yes
500,The Elder Scrolls: Arena,The Elder Scrolls,1994,PC,digital,GOG,1,0,not started,no,no
501,The Escapists,The Escapists,2015,PC,digital,Epic,1,0,not started,no,no
502,The Flood,n/a,2018,PC,digital,Steam,1,0,perfect (100%),no,no
503,The Hustle: Detroit Streets,n/a,2005,PSP,physical,Console,1,2,unfinished,no,terminated
504,The Incredibles,The Incredibles,2004,PS2,physical,Console,1,0,not started,no,no
505,The Journeyman Project: Turbo (Remake),The Journeyman Project,1994,PC,physical,PC Disc,1,0,not started,no,no
506,The Legend of Zelda: Breath of the Wild,The Legend of Zelda,2017,Nintendo Switch,physical,Console,1,0,beaten,no,no
507,The Legend of Zelda: Link's Awakening,The Legend of Zelda,2017,Nintendo Switch,physical,Console,1,0,unfinished,yes,no
508,The Legend of Zelda: Twilight Princess,The Legend of Zelda,2006,Nintendo Wii,physical,Console,1,0,perfect (100%),no,no
509,The Lion's Song,n/a,2021,PC,digital,Epic,1,0,not started,no,no
510,The Lords of Midnight,The Lords of Midnight,1995,PC,both,Multiple,1-2,0,not started,no,no
511,The Outer Worlds,The Outer Worlds 2,2019,PC,digital,Steam,1,0,unfinished,no,no
512,The Simpsons: Road Rage,The Simpsons,2002,PS2,physical,Console,1-2,0,perfect (100%),no,no
513,The Sims 2,The Sims,2004,PC,physical,PC Disc,1,0,not started,no,no
514,The Sims Online,The Sims,2002,PC,physical,PC Disc,0,2-99+,not started,no,terminated
515,The Supper,n/a,2020,PC,digital,Steam,1,0,not started,no,no
516,The Surge,n/a,2017,PS4,digital,Console,1,0,not started,yes,no
517,The Treasures of Mystery Island (Includes Enchanted Cavern),Treasures of Mystery Island,2009,PC,physical,PC Disc,1,0,not started,no,no
518,The Vanishing of Ethan Carter + Redux,n/a,2014,PC,digital,Epic,1,0,not started,no,no
519,The Witcher 2: Assassins of Kings - Enhanced Edition,The Witcher,2011,PC,digital,Steam,1,0,not started,no,no
520,The Witcher 3: Wild Hunt,The Witcher,2015,PS4,both,Console&PC,1,0,beaten,no,no
521,The Witcher: Enhanced Edition,The Witcher,2008,PC,digital,Steam,1,0,unfinished,no,no
522,The Wolf Among Us,Fables,2013,PC,digital,Steam,1,0,unfinished,no,no
523,Thea 2: The Shattering,Thea,2019,PC,digital,GOG,1,2-3,not started,no,yes
524,theHunter: Call of the Wild,theHunter,2017,PC,digital,Epic,1,2,not started,no,yes
525,Thief,Thief,2014,PC,digital,Steam,1,0,not started,no,no
526,Thief II: The Metal Age,Thief,2000,PC,physical,PC Disc,1,0,not started,no,no
527,This War of Mine: The Little Ones,n/a,2016,PS4,digital,Console,1,0,not started,yes,no
528,Tiger Woods: PGA Tour Collection,PGA,1999,PC,physical,PC Disc,1,0,not started,no,no
529,Time Loader: First Memories,n/a,2020,PC,digital,GOG,1,0,not started,no,no
530,Timeline,n/a,2000,PC,physical,PC Disc,1,0,not started,no,no
531,Tiny Tina's Assualt on Dragon Keep: A Wonderlands One-Shot Adventure,Borderlands,2022,PC,digital,Epic,1,2-4,not started,no,yes
532,Titan Quest: Anniversary Edition,n/a,2016,PC,digital,Steam,1,2-6,not started,no,yes
533,Titan Souls,n/a,2015,PC,digital,Steam,1,0,unfinished,no,no
534,Titanfall 2,Titanfall,2016,PS4,digital,Console,1,10-16,unfinished,yes,yes
535,Tom Landry Strategy Football,n/a,1992,PC,physical,PC Disc,1-2,0,not started,no,no
536,Tomb Raider GOTY,Tomb Raider,2013,PC,digital,Epic,1,2-8,not started,no,yes
537,Tomb Raider V: Chronicles,Tomb Raider,2000,PC,physical,PC Disc,1,0,not started,no,no
538,Tonka: Construction,Tonka,1997,PC,physical,PC Disc,1,0,not started,no,no
539,Tonka: Search & Rescue,Tonka,1997,PC,physical,PC Disc,1,0,not started,no,no
540,Tony Hawk's Pro Skater 1 + 2,Tony Hawk's Pro Skater,2020,PS4,digital,Console,1-2,2-8,not started,yes,yes
541,Tony Hawk's Pro Skater 2,Tony Hawk's Pro Skater,2000,PS1,physical,Console,1-2,0,beaten,no,no
542,Tony Hawk's Pro Skater 4,Tony Hawk's Pro Skater,2002,PS2,physical,Console,1-2,2-8,unfinished,no,terminated
543,Toon Car: The Great Race,n/a,2001,PC,physical,PC Disc,1-4,0,not started,no,no
544,Top 50 Blazing Games,Bundle,1996,PC,physical,PC Disc,1,0,not started,no,no
545,Total War: WARHAMMER,Total War,2016,PC,digital,Epic,1,2-4,not started,no,yes
546,TotemBall,n/a,2006,Xbox 360,digital,Console,1-2,0,not started,no,no
547,Train Sim World 2,Train Sim World,2021,PC,digital,Epic,1,0,not started,no,no
548,Transformers: Devastation,Transformers,2015,PS4,digital,Console,1,0,unfinished,yes,no
549,Transistor,n/a,2014,"Nintendo Switch, PC",digital,Console&PC,1,0,unfinished,no,no
550,Treasure Adventure Game,Treasure Adventure Game,2011,PC,digital,GOG,1,0,not started,no,no
551,Tricky Towers,n/a,2016,PS4,digital,Console,1-4,2-4,unfinished,yes,yes
552,Tropico 5,Tropico,2015,PS4,digital,Console,1,2-4,not started,yes,yes
553,Tuneland (Starring Howie Mandel),Lil' Howie,1995,PC,physical,PC Disc,1,0,not started,no,no
554,Turok 2: Seeds of Evil,Turok,2019,Nintendo Switch,physical,Console,1-4,2-16,unfinished,yes,yes
555,Tyrian 2000,n/a,1999,PC,digital,GOG,1,0,not started,no,no
556,Ubermosh,Ubermosh,2015,PC,digital,Steam,1,0,not started,no,no
557,Ubermosh Vol.3,Ubermosh,2016,PC,digital,Steam,1,0,not started,no,no
558,Ubermosh Vol.5,Ubermosh,2017,PC,digital,Steam,1,0,not started,no,no
559,Ubermosh Vol.7,Ubermosh,2019,PC,digital,Steam,1,0,not started,no,no
560,Ubermosh: Black,Ubermosh,2016,PC,digital,Steam,1,0,not started,no,no
561,Ubermosh: Omega,Ubermosh,2019,PC,digital,Steam,1,0,not started,no,no
562,Ubermosh: Santicide,Ubermosh,2018,PC,digital,Steam,1,0,not started,no,no
563,Ubermosh: Wraith,Ubermosh,2017,PC,digital,Steam,1,0,not started,no,no
564,uDraw Studio (with uDraw GameTablet),uDraw,2010,Nintendo Wii,physical,Console,1,0,not started,no,no
565,Ultima 4: Quest of the Avatar,Ultima,1985,PC,digital,GOG,1,0,not started,no,no
566,Ultima: Underworld I+II,Ultima,1992,PC,digital,GOG,1,0,not started,no,no
567,Ultima: Worlds of Adventure 2 - Martian Dreams,Ultima,1991,PC,digital,GOG,1,0,not started,no,no
568,Ultimate Domain,n/a,1994,PC,physical,PC Disc,1,0,not started,no,no
569,Ultimate Yahtzee,Yahtzee,1996,PC,physical,PC Disc,1-4,0,not started,no,no
570,Ultratron,n/a,2015,PS4,digital,Console,1,0,not started,yes,no
571,Uncharted: The Nathan Drake Collection,Uncharted,2015,PS4,digital,Console,1,0,unfinished,no,no
572,Unrailed!,n/a,2019,PC,digital,Epic,2-4,2-4,not started,no,yes
573,Until Dawn,Until Dawn,2015,PS4,digital,Console,1,0,beaten,yes,no
574,Until Dawn: Rush of Blood,Until Dawn,2016,PS4,digital,Console,1,0,not started,yes,no
575,Vampyr,n/a,2018,PC,digital,Epic,1,0,not started,no,no
576,Vector,n/a,2013,PC,digital,Steam,1,0,unfinished,no,no
577,Verdun,n/a,2013,PC,digital,Epic,0,2-64,not started,no,yes
578,Virtual Pool Hall,Virtual Pool,2002,PC,physical,PC Disc,1,2,not started,no,terminated
579,Virtual Pool Straight/8,Bundle,1995,PC,physical,PC Disc,1,0,not started,no,no
580,VirtuaVerse,n/a,2020,PC,digital,GOG,1,0,not started,no,no
581,War Wind,n/a,1996,PC,digital,GOG,1,0,not started,no,no
582,Warcraft II: Tides of Darkness,Warcraft,1995,PC,physical,PC Disc,"1, 2-8",0,not started,no,no
583,Warframe,n/a,2013,"PS4, PC",digital,Console&PC,1,2-4,unfinished,no,yes
584,Warhammer Underworlds: Online,Warhammer,2020,PC,digital,Steam,0,2,not started,no,yes
585,What Remains of Edith Finch,n/a,2017,PS4,digital,Console,1,0,unfinished,yes,no
586,Wheel of Fortune: 2nd Edition,Wheel of Fortune,2001,PC,physical,PC Disc,1-3,0,not started,no,no
587,Where in the U.S.A. is Carmen Sandiego,Carmen Sandiego,1996,PC,physical,PC Disc,1,0,not started,no,no
588,while True: learn(),n/a,2019,PC,digital,Epic,1,0,not started,no,no
